opaque_id,Organization,ROR ID,Country code
task_000000000000000000246401,Acharya Prafulla Chandra Roy Government College,00146e793,IN
task_000000000000000000246401,Open Source Medicine Foundation,01njn7795,EE
task_000000000000000000246401,Institute of Computational Biology,00kg2yq63,DE
task_000000000000000000246401,Australian Bureau of Agricultural and Resource Economics and Sciences,00rev1511,AU
task_000000000000000000246402,Centre de Recherche Astrophysique de Lyon,0084x3h80,FR
task_000000000000000000246402,Ministry of Health of the Republic of Uzbekistan,00qcztw05,UZ
task_000000000000000000246402,McCreary Centre Society,001ps8w52,CA
task_000000000000000000246402,Instituto Superior Tecnológico Escuela de los Chefs de Guayaquil,01ks8be76,EC
task_000000000000000000246403,Institut des Sciences de la Terre,01cf2sz15,FR
task_000000000000000000246403,Cluster University Srinagar,0127tex41,IN
task_000000000000000000246403,National Metrology Institute of Japan,00j3eeb74,JP
task_000000000000000000246403,Institute of Bioinformatics and Systems Biology,0127fwn18,DE
task_000000000000000000246404,Institut Teknologi Bisnis dan Kesehatan Bhakti Putra Bangsa Indonesia,00ryjkv54,ID
task_000000000000000000246404,Kampala International University in Tanzania,006ejbv88,TZ
task_000000000000000000246404,Central Regional Referral Hospital,0143c7g52,BT
task_000000000000000000246404,Kaduna State College of Education Gidan Waya,01aybmk16,NG
task_000000000000000000246405,Universidad de Sotavento Coatzacoalcos Campus,00s38mz90,MX
task_000000000000000000246405,Burke Museum of Natural History and Culture,015ypce77,US
task_000000000000000000246405,Colegio de Farmacéuticos de la Provincia de Buenos Aires,01pv6r024,AR
task_000000000000000000246405,Stațiunea de Cercetare Dezvoltare Agricolă Turda,00tjm9y94,RO
task_000000000000000000246406,Sekolah Tinggi Ilmu Farmasi Pelita Mas Palu,017szad60,ID
task_000000000000000000246406,Alzheimer Society of BC and Yukon,0072htj14,CA
task_000000000000000000246406,Faculdade EBRAMEC,00x458g09,BR
task_000000000000000000246406,Prefeitura Municipal de Porto Alegre,006g2sa40,BR
task_000000000000000000246407,Sekolah Tinggi Ilmu Manajemen Budi Bakti,013691g33,ID
task_000000000000000000246407,College of Education Warri,00cxaa614,NG
task_000000000000000000246407,Geological Experiment and Testing Center of Hunan Province,01b0et865,CN
task_000000000000000000246407,Brisbane Institute of Strengths Based Practice,01hafby60,AU
task_000000000000000000246408,Bundelkhand Medical College,006xk1031,IN
task_000000000000000000246408,Shared Health,00yqy0q42,CA
task_000000000000000000246408,National Institute of Advanced Industrial Science and Technology,01703db54,JP
task_000000000000000000246408,Rubinstein Center for Constitutional Challenges,00eew5z52,IL
task_000000000000000000246409,Hospices Civils de Lyon,01502ca60,FR
task_000000000000000000246409,Easterseals,00c9pzm73,US
task_000000000000000000246409,Research Centre for Smallholder Farmers,00r0cn362,KE
task_000000000000000000246409,"Ministry of Agriculture, Food and Rural Affairs",009g8rq41,KR
task_00000000000000000024640a,NTT Medical Center Sapporo,017kggx87,JP
task_00000000000000000024640a,Xinyang Normal University,0190x2a66,CN
task_00000000000000000024640a,Medicare Laboratories,002agny75,PS
task_00000000000000000024640a,PHAETHON Centre of Excellence,00a06pm72,CY
task_00000000000000000024640b,China Meteorological Administration,00bx3rb98,CN
task_00000000000000000024640b,Mid-America Reformed Seminary,005xvx333,US
task_00000000000000000024640b,South Bristol Community Hospital,00pa9y269,GB
task_00000000000000000024640b,University Hospital Zurich,01462r250,CH
task_00000000000000000024640c,Université Lumumba,0016dbc19,CD
task_00000000000000000024640c,"Instituto Federal de Educação, Ciência e Tecnologia Baiano",01dv63r93,BR
task_00000000000000000024640c,Kattakurgan State Pedagogical Institute,00e7gc845,UZ
task_00000000000000000024640c,Georgian Farmers' Association,00wq97w77,GE
