opaque_id,Organization,ROR ID,Country code
task_000000000000000000247331,Institut Syariah Negeri Junjungan Bengkalis,04y3nxh06,ID
task_000000000000000000247331,Berhampur University,03m3xkg41,IN
task_000000000000000000247331,Graduate Institute of International and Development Studies,007ygn379,CH
task_000000000000000000247331,Gibbeum General Hospital,027ekq983,KR
task_000000000000000000247332,Alzheimer Society of Canada,03benss35,CA
task_000000000000000000247332,Society of Vascular and Interventional Neurology,04h2kan91,US
task_000000000000000000247332,Helmholtz Association of German Research Centres,0281dp749,DE
task_000000000000000000247332,Universidad Dr. Andrés Bello,05ke4zy29,SV
task_000000000000000000247333,Sekolah Tinggi Teologi Baptis Kalvari Jakarta,033d3jw18,ID
task_000000000000000000247333,Calgary Foothills Primary Care Network,04sgt8794,CA
task_000000000000000000247333,Faridpur Medical College,058hsmw86,BD
task_000000000000000000247333,Fundação Universitária Mário Martins,04g5ymh63,BR
task_000000000000000000247334,Sekolah Tinggi Ilmu Kesehatan Pemkab Purworejo,00hrvjz34,ID
task_000000000000000000247334,Alliance for South Asian Aids Prevention,0466yja25,CA
task_000000000000000000247334,German Breast Group,03c8hnh70,DE
task_000000000000000000247334,Suleyman Demirel University Research and Education Hospital,00dpzx715,TR
task_000000000000000000247335,Akademi Kesehatan John Paul II Pekanbaru,04q1z8m23,ID
task_000000000000000000247335,Bristol Eye Hospital,01w151e64,GB
task_000000000000000000247335,Institut National Polytechnique Félix Houphouët-Boigny,03f915n15,CI
task_000000000000000000247335,Kolehiyo ng Pantukan,045j1ne45,PH
task_000000000000000000247336,Nilgiri College of Arts and Science,0033ta369,IN
task_000000000000000000247336,Continental Florida University,057jjnv35,US
task_000000000000000000247336,National Park Service,044zqqy65,US
task_000000000000000000247336,Department of Water Resources and Irrigation,04dv23n89,NP
task_000000000000000000247337,Kaziranga English Academy,02m0c2x49,IN
task_000000000000000000247337,Institute of Biological and Medical Imaging,05g95eg64,DE
task_000000000000000000247337,Instituto Tecnológico Superior de Teziutlán,035c3rc79,MX
task_000000000000000000247337,Tecnológico del Valle del Guadiana,05bfvpz78,MX
task_000000000000000000247338,Parala Maharaja Engineering College,043n3me15,IN
task_000000000000000000247338,Konstantinion Research Center of Molecular Medicine and Biotechnology,02s5hv695,GR
task_000000000000000000247338,WageIndicator Foundation,02xs9jt02,NL
task_000000000000000000247338,Universidad La Salle Victoria,05vp0ak07,MX
task_000000000000000000247339,Fédération de Recherche sur l'Energie Solaire,0459fdx51,FR
task_000000000000000000247339,Coalition for Aligning Science,00rf4ez40,US
task_000000000000000000247339,Centro Universitario Sagrada Familia,035tsm698,ES
task_000000000000000000247339,Fundación Omar Dengo,03wsx1242,CR
task_00000000000000000024733a,Laboratoire AstroParticule et Cosmologie,03tnjrr49,FR
task_00000000000000000024733a,The Laurier Institution,03fp9z771,CA
task_00000000000000000024733a,Nürnberg Institut für Marktentscheidungen e.V.,03hm47f10,DE
task_00000000000000000024733a,Shandong Meteorological Bureau,01kn5gg54,CN
task_00000000000000000024733b,Laboratoire d'Ecologie des Hydrosystèmes Naturels et Anthropisés,05pny1q12,FR
task_00000000000000000024733b,China Academy of Information and Communications Technology,038dte259,CN
task_00000000000000000024733b,Abraham Adesanya Polytechnic,05t8bf750,NG
task_00000000000000000024733b,Ashiya Municipal Hospital,010e6cb61,JP
task_00000000000000000024733c,Laboratoire d'Informatique en Images et Systèmes d'Information,04dv4he91,FR
task_00000000000000000024733c,Hashimoto Foundation,03pcxft69,JP
task_00000000000000000024733c,Faculdade Princesa do Oeste,05txt3n58,BR
task_00000000000000000024733c,Islamic Azad University Gonbad Kavoos Branch,037hpsz89,IR
