opaque_id,Organization,ROR ID,Country code
task_000000000000000000246391,Institut de Biologie et de Chimie des Protéines,0019x5d05,FR
task_000000000000000000246391,SINOPEC Beijing Research Institute of Chemical Industry,01c6ft524,CN
task_000000000000000000246391,Helmholtz Munich,00cfam450,DE
task_000000000000000000246391,New Generation University,00my2qv06,SO
task_000000000000000000246392,Inspektorat Kabupaten Majalengka,01pfn9t54,ID
task_000000000000000000246392,Swarma Research,00h99vg60,CN
task_000000000000000000246392,"Islamic Azad University, Tehran",01kzn7k21,IR
task_000000000000000000246392,Charité - Universitätsmedizin Berlin,001w7jn25,DE
task_000000000000000000246393,Sekolah Tinggi Teologi Anugrah Indonesia,01m48c907,ID
task_000000000000000000246393,Black Doc Village,00e83fj44,US
task_000000000000000000246393,Inaya Medical Colleges,012m7e804,SA
task_000000000000000000246393,Canadian Virtual Hospice,00xdyh091,CA
task_000000000000000000246394,Politeknik Pelayaran Malahayati,0149xnh58,ID
task_000000000000000000246394,Geological Survey of South Australia,0121cjp70,AU
task_000000000000000000246394,Cancer Care Alberta,01e67n130,CA
task_000000000000000000246394,Polish University Abroad,01etvnv23,GB
task_000000000000000000246395,Pragjyotish College,00xs0en04,IN
task_000000000000000000246395,Fundación EcoMinga - Red de Protección de Bosques Amenazados,00f7qhf41,EC
task_000000000000000000246395,First Lviv Territorial Medical Union,006a6pc29,UA
task_000000000000000000246395,École Supérieure Africaine des TIC,01anbmy79,CI
task_000000000000000000246396,Ministère de la Culture,017rnyz40,FR
task_000000000000000000246396,Forever Vision Eye Centre,00me74e98,NG
task_000000000000000000246396,Agência de Investigação Clínica e Inovação Biomédica,0006b9y14,PT
task_000000000000000000246396,Technology and Mental Health Hub,0123nxb25,IL
task_000000000000000000246397,Einstein Healthcare Network,01bh2s525,US
task_000000000000000000246397,"Entrepôts, Représentation et Ingénierie des Connaissances",009frb846,FR
task_000000000000000000246397,Institute of Geography,01m7dbh13,AZ
task_000000000000000000246397,Institute of Epigenetics and Stem Cells,00k195394,DE
task_000000000000000000246398,Shenzhen Traditional Chinese Medicine Hospital,00b16vp10,CN
task_000000000000000000246398,Silver Oak University,0113dje58,IN
task_000000000000000000246398,Instituto de Investigación en Agrobiotecnología,00p4kjh08,ES
task_000000000000000000246398,SENTRAL College Penang,010xn0p45,MY
task_000000000000000000246399,Government of British Columbia,011e3e176,CA
task_000000000000000000246399,Instituto Tecnológico de Chetumal,01kv0ya56,MX
task_000000000000000000246399,ABEx Bio-Research Center,018qrbr66,BD
task_000000000000000000246399,Instituto Español de Ciencias Histórico-Jurídicas,00p6hm978,ES
task_00000000000000000024639a,Hospital de Urgencia Asistencia Pública,0144sj678,CL
task_00000000000000000024639a,"Federal College of Animal Health and Production Technology, Vom",00hgtpv71,NG
task_00000000000000000024639a,Sandia National Laboratories,01apwpt12,US
task_00000000000000000024639a,Fundação Centro Médico de Campinas,00c71vf80,BR
task_00000000000000000024639b,Tecnológico Nacional de México,00davry38,MX
task_00000000000000000024639b,Bristol Royal Hospital for Children,01qgecw57,GB
task_00000000000000000024639b,Baba Ahmed University,00ac4gz35,NG
task_00000000000000000024639b,"Fundação Instituto de Pesquisas Contábeis, Atuariais e Financeiras",00c3tgx29,BR
task_00000000000000000024639c,Midnapore College,01jmtsv84,IN
task_00000000000000000024639c,Jose Maria College Foundation,00pfs7x68,PH
task_00000000000000000024639c,The Therapeutic Clinic at the Baruch Ivcher School of Psychology,01ev6yf32,IL
task_00000000000000000024639c,Reichman University,01px5cv07,IL
