opaque_id,Organization,ROR ID,Country code
task_000000000000000000246511,Universitas Mahakarya Asia,05pmxde62,ID
task_000000000000000000246511,FACT Research Center,05549nv94,IL
task_000000000000000000246511,Guru Jambheshwar University Moradabad,05ez5gv93,IN
task_000000000000000000246511,Rwanda Standards Board,059zwr911,RW
task_000000000000000000246512,Universitas Islam Negeri Sultanah Nahrasiyah Lhokseumawe,05ke28z36,ID
task_000000000000000000246512,Fédération de Recherche PhotoVoltaïque,059fn5f50,FR
task_000000000000000000246512,JCHO Sapporo Hokushin Hospital,054wypx38,JP
task_000000000000000000246512,Voice of Doctors Research School,05fvb1117,BD
task_000000000000000000246513,Universitas Uluwiyah Mojokerto,05hkfqh39,ID
task_000000000000000000246513,Algoma Public Health,05ffrc090,CA
task_000000000000000000246513,More Institute,055b3va46,BE
task_000000000000000000246513,Paul Langerhans Institute Dresden,05ke5hb07,DE
task_000000000000000000246514,Universitas Yuppentek Indonesia,056j77z63,ID
task_000000000000000000246514,P.G. Centre for Management Studies,05wfext57,IN
task_000000000000000000246514,Hospital Universitario Infantil San José,05at6sw30,CO
task_000000000000000000246514,City College of Tagaytay,05pvznp03,PH
task_000000000000000000246515,CaixaResearch Institute,05jw88125,ES
task_000000000000000000246515,McGill University Research Centre for Studies in Aging,05h8ts335,CA
task_000000000000000000246515,International Association for Cryptologic Research,05s4dst63,US
task_000000000000000000246515,Vyatka State Agrotechnological University,05fj5jw51,RU
task_000000000000000000246516,Centre de Recherche en CardioVasculaire et Nutrition,059jcps08,FR
task_000000000000000000246516,Martin Luther University Halle-Wittenberg,05gqaka33,DE
task_000000000000000000246516,Instituto Tecnológico Superior de El Mante,05qqtz946,MX
task_000000000000000000246516,Shandong University of Aeronautics,05frpfj73,CN
task_000000000000000000246517,Vulture Conservation Foundation,05ws42328,CH
task_000000000000000000246517,Upper Canada College,05djcbq28,CA
task_000000000000000000246517,Rural Cancer Institute,05mmvhr08,US
task_000000000000000000246517,Transylvanian Institute of Neuroscience,05mkatf28,RO
task_000000000000000000246518,Bristol NHS Foundation Trust,054vvq170,GB
task_000000000000000000246518,Dum Dum Motijheel College,05sa1pt97,IN
task_000000000000000000246518,Occidental Mindoro State University,05akxm467,PH
task_000000000000000000246518,Center for the Analysis of Politics and Enterprise,059qqkh69,US
task_000000000000000000246519,Interoceanmetal Joint Organization,053g9wf45,PL
task_000000000000000000246519,Fédération Informatique de Lyon,054f5fc35,FR
task_000000000000000000246519,Consejo de Ciencia y Tecnología del Estado de Morelos,05n5bh389,MX
task_000000000000000000246519,Baylor Scott & White Health,05wevan27,US
task_00000000000000000024651a,Centre International de Recherche en Infectiologie,059sz6q14,FR
task_00000000000000000024651a,HQ Toronto,05e8sfg08,CA
task_00000000000000000024651a,Kazakh Technology and Business University named after K.Kulazhanov,054r9x893,KZ
task_00000000000000000024651a,Institute of Functional Epigenetics,05ekkb842,DE
task_00000000000000000024651b,Mental Health Hospital,05t1py545,SA
task_00000000000000000024651b,Southmead Hospital,05d576879,GB
task_00000000000000000024651b,King Abdulaziz Hospital,05mvv1442,SA
task_00000000000000000024651b,Centro de Enseñanza Superior Alberta Giménez,05myayc53,ES
task_00000000000000000024651c,Universidad de Sotavento,057ngt219,MX
task_00000000000000000024651c,Debraj Roy College,05ha1jq52,IN
task_00000000000000000024651c,Ministerio Público de Honduras,05ggf0k60,HN
task_00000000000000000024651c,DSW Ideis University,05a550a57,PL
