opaque_id,Country,GDP per capita (current US$) [NY.GDP.PCAP.CD] @2023,Urban population (%) [SP.URB.TOTL.IN.ZS] @2023
task_000000000000000000246941,St. Vincent and the Grenadines,10582.3656725229,47.7169922340041
task_000000000000000000246941,Tajikistan,1178.47990060249,26.1890127571429
task_000000000000000000246941,Malaysia,11386.0395636528,76.4434752105739
task_000000000000000000246941,Israel,52126.4489280033,91.5089569794505
task_000000000000000000246942,Namibia,4225.99102418102,49.9545837830821
task_000000000000000000246942,Nepal,1382.38300895424,66.5432933453944
task_000000000000000000246942,Curacao,21217.8109173312,91.4080929292235
task_000000000000000000246942,Serbia,12281.707946167,62.1434649229738
task_000000000000000000246943,Cambodia,2429.74853452838,40.6290788072508
task_000000000000000000246943,Libya,6026.51518708812,87.8647197919848
task_000000000000000000246943,Sao Tome and Principe,2990.6606143535,68.6043921103568
task_000000000000000000246943,Sri Lanka,3815.41531767474,20.1455348442463
task_000000000000000000246944,Guatemala,5754.42833909847,55.6082319565539
task_000000000000000000246944,Kosovo,6220.33213919344,49.1105579101515
task_000000000000000000246944,Samoa,4822.74084650019,17.5012799804602
task_000000000000000000246944,Tunisia,3951.11683376921,70.0266686486584
task_000000000000000000246945,Seychelles,18130.5297135548,45.0971081321658
task_000000000000000000246945,Bangladesh,2551.01773827307,32.1578465036834
task_000000000000000000246945,Nicaragua,2609.44491147975,59.1250953674316
task_000000000000000000246945,Portugal,27634.6183139773,61.2048652633664
task_000000000000000000246946,Thailand,7210.54130832685,60.9341926574707
task_000000000000000000246946,Oman,21027.7384572657,79.5702973228932
task_000000000000000000246946,Mozambique,622.191133245967,35.7149783148407
task_000000000000000000246946,St. Kitts and Nevis,22576.9248439166,31.7007809622822
task_000000000000000000246947,Netherlands,63515.6030780019,95.3221682092129
task_000000000000000000246947,Singapore,86382.5900499252,100
task_000000000000000000246947,Morocco,3813.72607421875,62.673750838878
task_000000000000000000246947,Nigeria,2138.76383718757,62.1746763155343
task_000000000000000000246948,Colombia,7012.49169137756,78.275571579544
task_000000000000000000246948,Kyrgyz Republic,2138.22210211478,34.706439175362
task_000000000000000000246948,Solomon Islands,1882.64394148042,30.0088821088389
task_000000000000000000246948,Iraq,5965.31835077761,69.868278503418
task_000000000000000000246949,Uganda,1002.30913917142,30.6059359395495
task_000000000000000000246949,Peru,7919.04634828547,84.7810255849745
task_000000000000000000246949,Greenland,58498.9707973609,88.0631147749908
task_000000000000000000246949,Viet Nam,4322.82572261566,38.1298904418945
task_00000000000000000024694a,Algeria,5370.477235078,74.732808364138
task_00000000000000000024694a,Central African Republic,495.978897288721,43.6983692134165
task_00000000000000000024694a,"Venezuela, RB",3617.47038396528,89.249627620225
task_00000000000000000024694a,Greece,23343.7103964562,78.7746303842088
task_00000000000000000024694b,Kiribati,2200.68918614289,61.5244676194408
task_00000000000000000024694b,West Bank and Gaza,3607.41611858821,86.8576870415886
task_00000000000000000024694b,Lesotho,921.435141557056,42.6781596804785
task_00000000000000000024694b,Grenada,11414.4781691181,36.462128238584
task_00000000000000000024694c,Azerbaijan,7133.02838048328,58.5075350483702
task_00000000000000000024694c,Timor-Leste,1502.4114958903,28.595471832952
task_00000000000000000024694c,Kuwait,34091.9714813002,100
task_00000000000000000024694c,Tanzania,1224.00219726563,35.4748019434954
